iter	RMSE
0	0.9802737769
1	0.9611008839
2	0.9458797861
3	0.9314146686
4	0.9153003665
5	0.8995876538
6	0.8854492166
7	0.8732362302
8	0.8614020859
9	0.8467179612
10	0.833526161
11	0.8198439447
12	0.8051239963
13	0.7938465606
14	0.7819095477
15	0.7713897903
16	0.7583460717
17	0.7489043478
18	0.7369689486
19	0.725928039
20	0.7151188087
21	0.7048219459
22	0.6929978709
23	0.6823628684
24	0.6735319865
25	0.6625304404
26	0.6522814905
27	0.6436007553
28	0.6355859705
29	0.6261910851
30	0.6184092214
31	0.6103929353
32	0.6013985965
33	0.5925094992
34	0.5829596321
35	0.5752358519
36	0.5658919924
37	0.5576187926
38	0.550215525
39	0.5408053469
40	0.5315424185
41	0.5219807347
42	0.5132631425
43	0.5056599313
44	0.4990316628
45	0.4927870849
46	0.4866216131
47	0.4780241674
48	0.4719886098
49	0.4651338744
50	0.4592179109
51	0.4515372219
52	0.4457468397
53	0.4388156766
54	0.4331012481
55	0.4276038568
56	0.422132546
57	0.4166389449
58	0.4113378295
59	0.4059065387
60	0.4008327069
61	0.3949807292
62	0.3901697453
63	0.3838501831
64	0.3790520558
65	0.3742266023
66	0.3695487697
67	0.3642811438
68	0.3597276294
69	0.3552261253
70	0.3498214703
71	0.3454816878
72	0.3411581034
73	0.3371455421
74	0.3313916446
75	0.3273424491
76	0.3226375656
77	0.3184543931
78	0.3145630264
79	0.3105644008
80	0.3072275656
81	0.3031832666
82	0.2993934757
83	0.2956468655
84	0.291947431
85	0.288378639
86	0.2846398781
87	0.2811606638
88	0.2777259904
89	0.2742507404
90	0.2709586954
91	0.2675717117
92	0.2642270653
93	0.2608640478
94	0.2576292498
95	0.2544043721
96	0.2512243174
97	0.2480840134
98	0.2449788905
99	0.2419166543
100	0.2389640616
101	0.2360016058
102	0.2330769449
103	0.2301896034
104	0.227307069
105	0.2244657306
106	0.2216551225
107	0.218879954
108	0.2161439545
109	0.2134380287
110	0.2107662182
111	0.2081280907
112	0.2055264895
113	0.2029541794
114	0.2004142943
115	0.1979064237
116	0.1954301625
117	0.1929851108
118	0.1906311687
119	0.188248279
120	0.1858951755
121	0.1835714858
122	0.1812768422
123	0.1790108816
124	0.176771332
125	0.174560014
126	0.1723780138
127	0.1702218634
128	0.1680940901
129	0.1659917301
130	0.1639168334
131	0.1618669208
132	0.1598435842
133	0.1578455394
134	0.1558717496
135	0.1539233527
136	0.1519993107
137	0.1500993193
138	0.1482230778
139	0.1463702893
140	0.1445401761
141	0.1427334239
142	0.1409492561
143	0.1391871022
144	0.1374472634
145	0.1357291726
146	0.1340324538
147	0.1323570481
148	0.130702585
149	0.1290688027
150	0.1274554426
151	0.1258622496
152	0.1242889714
153	0.1227353593
154	0.1212011672
155	0.1196861526
156	0.1181900757
157	0.1167126997
158	0.115253791
159	0.1138131186
160	0.1123904545
161	0.1109855738
162	0.1095982542
163	0.108228276
164	0.1068754225
165	0.1055394797
166	0.1042202362
167	0.1029174832
168	0.1016310146
169	0.1003606269
170	0.09910611908
171	0.09786729257
172	0.0966439514
173	0.09543590199
174	0.09424295319
175	0.09306491626
176	0.09190160479
177	0.09075283471
178	0.08961842426
179	0.08849819394
180	0.0873919665
181	0.08629956691
182	0.0852208223
183	0.08415556201
184	0.08310361747
185	0.08206482223
186	0.08103901194
187	0.08002602428
188	0.07902569896
189	0.07803787771
190	0.07706240422
191	0.07609912415
192	0.07514788509
193	0.07420853651
194	0.07328092979
195	0.07236491815
196	0.07146035666
197	0.07056710219
198	0.0696850134
199	0.06881395072
200	0.06795377632
201	0.06710435411
202	0.06626554967
203	0.06543723028
204	0.06461926489
205	0.06381152407
206	0.06301388001
207	0.0622262065
208	0.0614483789
209	0.06068027416
210	0.05992177072
211	0.05917274857
212	0.0584330892
213	0.05770267558
214	0.05698139212
215	0.05626912471
216	0.05556576064
217	0.05487118862
218	0.05418529875
219	0.05350798251
220	0.05283913272
221	0.05217864355
222	0.0515264105
223	0.05088233036
224	0.05024630122
225	0.04961822244
226	0.04899799465
227	0.04838551971
228	0.0477807007
229	0.04718344194
230	0.0465936489
231	0.04601122828
232	0.04543608792
233	0.04486813681
234	0.0443072851
235	0.04375344402
236	0.04320652597
237	0.04266644438
238	0.04213311382
239	0.04160644989
240	0.04108636926
241	0.04057278963
242	0.04006562976
243	0.03956480938
244	0.03907024925
245	0.03858187113
246	0.03809959773
247	0.03762335275
248	0.03715306084
249	0.03668864757
250	0.03623003947
251	0.03577716397
252	0.03532994941
253	0.03488832504
254	0.03445222097
255	0.0340215682
256	0.03359629859
257	0.03317634485
258	0.03276164054
259	0.03235212002
260	0.03194771852
261	0.03154837203
262	0.03115401737
263	0.03076459215
264	0.03038003474
265	0.0300002843
266	0.02962528074
267	0.02925496473
268	0.02888927766
269	0.02852816169
270	0.02817155966
271	0.02781941516
272	0.02747167247
273	0.02712827655
274	0.02678917309
275	0.02645430842
276	0.02612362956
277	0.02579708419
278	0.02547462063
279	0.02515618787
280	0.02484173552
281	0.02453121382
282	0.02422457364
283	0.02392176647
284	0.02362274438
285	0.02332746007
286	0.02303586682
287	0.02274791848
288	0.02246356949
289	0.02218277487
290	0.02190549018
291	0.02163167155
292	0.02136127565
293	0.0210942597
294	0.02083058145
295	0.02057019918
296	0.02031307168
297	0.02005915828
298	0.0198084188
299	0.01956081356
